学号,性别,专业,每周学习时长（小时）,上课出勤率,期中考试分数,作业完成率,期末考试分数
2023005295,男,人工智能,35.48,0.78,94.36,0.94,99.16
2023005296,男,财务管理,16.31,0.98,94.38,0.95,82.89
2023005297,女,大数据管理,23.12,0.93,63.18,0.8,69.72
2023005298,女,电子商务,27.64,0.92,70.75,0.8,80.48
2023005299,女,人工智能,11.53,0.61,100.0,0.84,83.62
2023005300,男,电子商务,21.49,0.82,60.98,0.71,66.28
2023005301,男,工商管理,11.1,0.98,82.04,0.85,72.21
2023005302,男,电子商务,12.69,0.83,69.35,0.79,62.64
2023005303,女,财务管理,16.72,0.71,77.38,0.97,79.37
2023005304,女,财务管理,26.21,0.74,81.08,0.91,82.39
2023005305,女,电子商务,26.08,0.8,95.01,0.81,82.68
2023005306,女,电子商务,21.04,0.95,52.75,0.93,73.62
2023005307,女,财务管理,12.05,0.65,76.95,0.73,64.01
2023005308,男,财务管理,11.88,0.73,58.44,0.75,49.84
2023005309,男,大数据管理,20.84,0.62,94.21,0.88,74.04
2023005310,女,人工智能,16.38,0.69,80.08,0.79,62.2
2023005311,女,财务管理,19.67,0.68,59.64,0.98,62.36
2023005312,男,人工智能,13.18,0.78,55.8,0.7,67.47
2023005313,男,财务管理,13.63,0.74,38.4,0.92,44.09
2023005314,男,人工智能,6.24,0.73,74.29,0.84,65.52
2023005315,女,财务管理,11.79,1.0,50.36,0.98,54.93
2023005316,男,人工智能,24.72,0.78,93.31,0.86,81.6
2023005317,男,大数据管理,20.01,0.65,58.52,0.9,50.4
2023005318,女,人工智能,13.32,0.71,81.83,0.75,67.51
2023005319,女,人工智能,19.97,0.97,81.87,0.99,78.67
2023005320,女,财务管理,20.13,0.64,66.94,0.81,69.68
2023005321,男,大数据管理,23.46,0.8,83.91,0.96,81.73
2023005322,男,电子商务,26.91,0.63,73.7,0.97,65.57
2023005323,女,人工智能,29.71,0.77,82.6,0.89,88.72
2023005324,男,工商管理,5.69,0.91,100.0,0.92,82.34
2023005325,女,大数据管理,12.89,0.79,100.0,0.83,82.44
2023005326,男,工商管理,5.0,0.9,84.31,0.79,69.84
2023005327,男,电子商务,27.02,0.91,86.41,0.74,77.7
2023005328,男,电子商务,21.09,1.0,36.17,0.92,59.18
2023005329,女,工商管理,31.11,0.83,88.74,0.92,89.38
2023005330,女,财务管理,18.03,0.98,64.17,0.99,56.37
2023005331,女,人工智能,19.84,0.96,94.7,0.78,79.06
2023005332,男,人工智能,23.13,0.66,82.51,0.75,72.01
2023005333,男,大数据管理,17.43,0.66,91.53,0.99,81.22
2023005334,女,工商管理,33.31,0.87,30.73,0.72,55.73
2023005335,男,电子商务,15.77,0.98,77.96,0.82,67.39
2023005336,男,大数据管理,26.97,0.7,80.02,0.76,71.73
2023005337,男,大数据管理,23.72,0.73,76.86,0.88,70.52
2023005338,女,电子商务,25.66,0.96,96.64,0.76,81.01
2023005339,女,工商管理,16.02,0.85,50.5,0.76,54.47
2023005340,女,工商管理,13.58,0.92,67.34,0.87,73.91
2023005341,女,工商管理,26.57,0.61,92.27,0.91,74.48
2023005342,男,电子商务,16.08,0.78,56.0,0.8,63.3
2023005343,男,工商管理,40.0,0.6,89.67,0.8,75.64
2023005344,男,人工智能,13.76,0.92,91.36,0.78,73.23
2023005345,女,大数据管理,16.01,0.71,52.07,0.92,55.73
2023005346,男,财务管理,14.56,0.79,100.0,0.85,96.07
2023005347,男,工商管理,7.23,0.95,78.97,0.88,67.95
2023005348,男,工商管理,14.67,0.72,80.18,0.9,55.18
2023005349,女,财务管理,17.31,0.67,95.83,0.89,70.83
2023005350,女,大数据管理,13.96,0.77,89.19,0.79,75.16
2023005351,女,工商管理,21.18,0.69,80.2,0.82,78.12
2023005352,女,工商管理,21.35,0.63,68.1,0.85,69.92
2023005353,男,工商管理,21.57,0.87,48.42,0.82,61.67
2023005354,女,工商管理,16.19,0.99,61.59,0.71,74.11
2023005355,男,财务管理,15.25,0.65,94.17,1.0,74.84
2023005356,男,人工智能,23.32,0.76,73.88,0.79,78.66
2023005357,男,电子商务,39.67,0.71,95.77,0.8,80.47
2023005358,男,人工智能,23.68,0.91,69.36,0.8,65.3
2023005359,女,财务管理,18.13,0.71,71.21,0.99,55.33
2023005360,男,财务管理,26.83,0.98,80.42,0.81,78.55
2023005361,女,工商管理,32.77,0.63,74.19,0.85,75.24
2023005362,女,工商管理,12.97,0.6,58.88,0.78,57.65
2023005363,女,电子商务,26.36,0.95,73.47,0.91,78.33
2023005364,男,财务管理,32.86,0.78,100.0,0.97,86.39
2023005365,男,大数据管理,22.83,0.8,88.42,0.97,80.66
2023005366,女,大数据管理,30.06,0.73,100.0,0.96,79.87
2023005367,女,人工智能,5.0,0.85,79.8,0.79,79.86
2023005368,女,人工智能,22.74,0.87,64.81,0.75,65.79
2023005369,女,工商管理,10.94,0.65,66.91,0.87,57.29
2023005370,男,电子商务,20.09,0.64,93.42,0.8,91.01
2023005371,男,人工智能,12.97,0.74,100.0,0.98,75.0
2023005372,男,工商管理,24.69,0.73,76.23,0.76,64.36
2023005373,男,工商管理,30.99,0.66,65.48,0.87,63.61
2023005374,女,工商管理,14.55,0.62,83.39,0.78,69.47
2023005375,女,大数据管理,13.79,0.89,93.48,0.91,84.41
2023005376,男,人工智能,21.92,0.77,65.47,0.89,74.42
2023005377,女,财务管理,15.63,0.66,95.15,0.75,98.14
2023005378,男,人工智能,24.19,1.0,62.74,0.72,52.18
2023005379,女,人工智能,33.33,0.83,68.48,0.79,79.2
2023005380,女,大数据管理,17.66,0.79,93.22,0.79,74.67
2023005381,男,人工智能,24.4,0.65,100.0,0.92,81.25
2023005382,男,电子商务,19.36,0.77,100.0,0.96,80.62
2023005383,女,电子商务,16.69,0.66,100.0,0.85,75.0
2023005384,女,人工智能,32.36,0.7,71.63,0.81,85.99
2023005385,男,大数据管理,15.87,0.92,99.09,0.95,92.67
2023005386,女,电子商务,28.36,0.81,77.76,0.81,77.52
2023005387,男,大数据管理,12.18,0.66,64.24,0.73,70.95
2023005388,男,人工智能,20.75,0.73,80.46,0.94,63.72
2023005389,女,大数据管理,10.22,0.69,67.84,0.82,49.79
2023005390,女,电子商务,6.6,0.65,100.0,0.71,75.0
2023005391,男,工商管理,25.66,0.99,61.4,0.89,66.68
2023005392,女,工商管理,35.17,0.7,52.18,0.94,69.23
2023005393,男,电子商务,31.63,0.88,60.8,0.98,74.79
2023005394,女,电子商务,26.62,0.91,72.99,0.77,76.16
2023005395,女,大数据管理,15.09,0.82,77.56,0.81,58.82
2023005396,男,人工智能,25.6,0.84,68.05,0.78,77.03
2023005397,女,电子商务,17.58,0.62,58.02,0.85,61.87
2023005398,女,大数据管理,17.08,0.68,61.38,0.99,70.32
2023005399,男,大数据管理,14.87,0.93,59.01,0.75,46.03
2023005400,女,大数据管理,14.29,0.66,91.46,0.97,80.02
2023005401,男,人工智能,17.05,0.91,69.42,0.77,58.55
2023005402,女,财务管理,19.23,0.75,85.95,0.91,74.31
2023005403,女,人工智能,12.44,0.64,95.74,0.74,79.54
2023005404,女,工商管理,14.59,0.97,70.49,0.93,71.84
2023005405,女,财务管理,31.93,0.68,53.87,0.74,58.44
2023005406,男,人工智能,29.71,0.74,79.23,0.75,76.85
2023005407,男,电子商务,35.74,0.82,55.2,0.87,61.02
2023005408,男,电子商务,19.16,0.69,62.05,0.75,71.39
2023005409,女,工商管理,23.7,0.81,56.23,0.94,64.68
2023005410,女,工商管理,25.82,0.99,75.56,0.94,87.88
2023005411,女,电子商务,8.18,1.0,71.16,0.95,64.03
2023005412,男,工商管理,22.27,0.92,75.36,0.98,73.35
2023005413,女,人工智能,21.5,0.72,66.9,0.83,61.45
2023005414,男,财务管理,19.16,0.62,81.81,0.94,80.95
2023005415,男,工商管理,16.69,0.94,83.13,0.76,69.49
2023005416,男,人工智能,20.14,0.73,63.9,0.88,71.3
2023005417,男,大数据管理,18.07,0.76,100.0,0.79,79.14
2023005418,女,人工智能,18.01,0.81,77.98,0.81,56.18
2023005419,女,工商管理,12.78,0.82,59.76,0.9,57.06
2023005420,男,电子商务,25.56,0.73,79.01,0.78,66.18
2023005421,男,大数据管理,17.68,0.87,49.84,0.73,58.06
2023005422,男,大数据管理,24.52,0.68,70.65,0.91,62.5
2023005423,男,大数据管理,24.03,0.89,89.31,0.74,88.22
2023005424,女,电子商务,31.11,0.98,75.99,0.91,81.33
2023005425,女,电子商务,18.26,0.64,70.26,0.81,64.56
2023005426,男,大数据管理,23.12,0.6,67.08,0.99,73.96
2023005427,男,财务管理,13.8,0.94,69.55,0.85,76.88
2023005428,男,财务管理,19.24,0.89,42.97,0.92,58.06
2023005429,女,工商管理,5.0,0.63,69.71,0.91,53.08
2023005430,男,工商管理,21.39,0.74,72.06,0.74,54.96
2023005431,男,人工智能,17.82,0.88,56.28,0.88,57.89
2023005432,男,电子商务,24.13,0.77,77.67,0.94,71.83
2023005433,男,工商管理,22.1,0.96,48.66,0.9,64.1
2023005434,男,电子商务,18.89,0.71,81.77,1.0,73.07
2023005435,男,人工智能,10.65,0.68,86.67,0.92,78.82
2023005436,女,电子商务,31.98,0.9,80.24,0.92,79.29
2023005437,男,大数据管理,28.58,0.9,100.0,0.82,89.63
2023005438,女,人工智能,18.95,0.89,85.99,0.76,86.79
2023005439,男,人工智能,16.1,0.78,93.75,0.74,80.56
2023005440,女,电子商务,19.09,0.93,88.99,0.75,78.65
2023005441,男,大数据管理,18.39,0.63,62.31,0.83,57.27
2023005442,女,财务管理,13.88,0.76,29.64,0.89,41.11
2023005443,女,大数据管理,25.16,0.68,55.17,0.96,58.39
2023005444,男,财务管理,11.72,0.81,100.0,0.91,76.92
2023005445,男,财务管理,12.1,0.7,72.81,0.98,74.18
2023005446,女,大数据管理,24.37,0.85,100.0,0.78,84.9
2023005447,女,人工智能,16.03,0.94,69.83,0.83,58.2
2023005448,女,财务管理,31.86,0.95,100.0,0.76,100.0
2023005449,男,电子商务,19.84,0.98,71.36,0.99,77.74
2023005450,男,大数据管理,22.28,0.71,83.41,0.81,64.74
2023005451,男,工商管理,20.99,0.74,89.94,0.74,74.21
2023005452,女,财务管理,17.44,0.99,87.81,0.99,83.24
2023005453,男,大数据管理,25.53,0.6,61.31,0.7,75.66
2023005454,女,电子商务,9.93,0.92,97.0,0.87,72.0
2023005455,男,财务管理,16.15,0.7,74.21,0.77,75.47
2023005456,女,财务管理,17.06,0.96,88.71,0.89,92.17
2023005457,女,财务管理,25.57,0.91,54.9,0.98,63.92
2023005458,女,财务管理,12.33,0.62,80.02,0.91,66.71
2023005459,男,工商管理,14.63,0.84,79.35,0.94,64.83
2023005460,女,人工智能,9.12,0.97,57.94,0.89,59.6
2023005461,男,人工智能,5.17,0.85,55.06,0.72,53.22
2023005462,女,人工智能,17.12,0.92,85.22,0.89,83.82
2023005463,女,财务管理,24.28,0.92,54.48,0.88,74.7
2023005464,男,工商管理,8.49,0.9,93.26,0.7,68.26
2023005465,男,财务管理,10.34,0.87,82.32,0.87,57.32
2023005466,女,人工智能,13.01,0.63,68.49,0.94,64.2
2023005467,女,工商管理,30.9,0.67,56.4,0.97,70.22
2023005468,男,财务管理,31.31,0.98,56.34,0.74,71.37
2023005469,男,财务管理,26.73,0.71,91.87,0.81,79.61
2023005470,女,电子商务,19.69,0.85,85.99,0.97,81.23
2023005471,男,大数据管理,29.16,0.64,59.68,0.95,79.06
2023005472,男,电子商务,14.91,0.81,76.47,0.84,73.66
2023005473,女,工商管理,15.74,0.9,72.22,0.85,67.03
2023005474,女,电子商务,10.0,0.79,100.0,0.73,75.0
2023005475,女,电子商务,17.35,0.71,70.63,0.9,66.83
2023005476,女,人工智能,19.63,0.68,52.95,0.82,71.95
2023005477,男,电子商务,20.2,1.0,75.67,0.92,75.23
2023005478,女,人工智能,23.01,0.73,69.66,0.89,70.51
2023005479,男,财务管理,12.65,0.74,95.69,0.71,71.72
2023005480,女,财务管理,24.36,0.61,54.3,0.74,67.84
2023005481,女,财务管理,10.8,0.85,64.69,0.96,82.46
2023005482,男,工商管理,18.71,0.61,88.33,0.9,79.74
2023005483,女,电子商务,11.5,0.93,85.65,0.88,76.41
2023005484,男,财务管理,12.6,0.66,55.94,0.74,55.58
2023005485,女,人工智能,28.04,0.76,54.08,0.77,46.76
2023005486,女,大数据管理,15.71,0.98,79.56,0.71,79.34
2023005487,男,人工智能,24.94,0.96,68.82,1.0,77.17
2023005488,女,人工智能,8.63,0.75,97.39,0.73,79.19
2023005489,男,电子商务,23.47,0.64,51.56,0.77,53.17
2023005490,男,工商管理,10.62,0.75,93.47,0.83,72.31
2023005491,女,人工智能,10.75,0.61,81.83,0.78,63.37
2023005492,女,电子商务,26.53,0.66,93.11,0.88,90.51
2023005493,女,人工智能,19.86,0.96,77.84,0.88,73.39
2023005494,女,大数据管理,8.35,0.99,83.2,0.74,90.84
2023005495,女,工商管理,8.29,0.76,61.0,0.71,60.7
2023005496,男,人工智能,5.0,0.71,87.8,0.72,62.8
2023005497,女,财务管理,23.33,0.85,59.26,0.99,67.98
2023005498,男,人工智能,16.88,0.64,92.74,0.78,70.68
2023005499,男,工商管理,16.51,0.8,73.21,0.82,50.88
2023005500,男,电子商务,19.33,0.71,47.78,0.91,70.75
2023005501,男,工商管理,16.11,0.92,65.74,0.91,74.19
2023005502,女,人工智能,26.04,0.77,59.67,0.73,69.24
2023005503,女,财务管理,9.17,0.77,85.95,0.96,75.06
2023005504,男,大数据管理,18.87,0.72,86.62,0.74,63.45
2023005505,女,财务管理,24.3,0.93,65.67,0.97,69.86
2023005506,男,财务管理,24.56,0.86,71.06,0.98,81.83
2023005507,女,工商管理,14.98,0.99,63.22,0.91,58.71
2023005508,女,电子商务,18.62,0.65,82.13,0.7,57.13
2023005509,女,人工智能,28.16,0.98,89.63,0.72,82.71
2023005510,女,财务管理,30.14,0.86,38.33,0.81,58.27
2023005511,女,人工智能,5.0,0.7,91.79,0.74,71.4
2023005512,女,财务管理,21.83,0.75,48.69,0.86,65.1
2023005513,男,大数据管理,20.03,0.71,88.82,1.0,85.2
2023005514,男,大数据管理,17.04,0.92,75.81,0.95,76.7
2023005515,女,财务管理,8.01,0.93,85.22,0.96,85.96
2023005516,女,人工智能,16.76,0.67,75.2,0.79,55.2
2023005517,女,工商管理,22.29,0.83,82.25,1.0,83.65
2023005518,男,人工智能,30.53,0.86,61.61,0.92,77.01
2023005519,男,财务管理,14.19,0.94,46.38,0.95,48.02
2023005520,男,大数据管理,20.6,0.73,100.0,0.78,75.0
2023005521,男,电子商务,18.08,0.83,77.3,0.78,65.77
2023005522,女,财务管理,29.25,0.91,74.91,0.79,72.83
2023005523,男,电子商务,16.45,0.94,40.18,0.71,59.3
2023005524,男,大数据管理,25.29,0.82,66.69,0.91,67.32
2023005525,女,财务管理,19.43,0.72,85.79,0.95,70.76
2023005526,女,大数据管理,20.71,0.88,64.35,0.81,63.02
2023005527,男,人工智能,18.97,0.63,100.0,0.93,92.0
2023005528,男,工商管理,26.49,0.68,73.27,0.86,73.1
2023005529,女,人工智能,27.95,0.73,63.83,0.75,66.77
2023005530,女,大数据管理,8.27,0.82,92.49,0.76,73.11
2023005531,男,财务管理,18.23,0.8,67.29,0.87,78.45
2023005532,男,电子商务,29.41,0.94,62.26,0.9,68.18
2023005533,女,工商管理,14.36,0.61,65.75,0.73,71.56
2023005534,女,财务管理,7.2,0.67,59.03,0.81,57.25
2023005535,女,工商管理,13.41,0.9,77.36,0.84,70.14
2023005536,女,大数据管理,25.29,0.86,70.37,0.99,94.28
2023005537,男,人工智能,9.94,0.66,66.03,0.8,50.29
2023005538,女,大数据管理,5.0,0.94,88.36,0.95,71.66
2023005539,女,财务管理,27.77,0.64,63.16,0.81,58.27
2023005540,女,人工智能,22.33,0.97,62.16,0.94,78.29
2023005541,男,工商管理,17.63,0.91,68.93,0.84,83.45
2023005542,女,人工智能,24.15,0.84,75.83,0.74,86.42
2023005543,女,电子商务,13.34,0.71,54.95,0.96,69.89
2023005544,男,财务管理,27.11,0.75,73.11,0.74,71.12
2023005545,男,人工智能,13.77,0.76,57.76,0.96,58.4
2023005546,女,大数据管理,35.29,0.63,64.89,0.76,60.1
2023005547,男,大数据管理,15.39,0.87,72.95,0.89,87.84
2023005548,男,工商管理,17.1,0.65,57.53,0.78,62.74
2023005549,女,财务管理,27.38,0.82,68.97,0.91,70.6
2023005550,男,人工智能,25.61,0.65,72.84,0.99,83.69
2023005551,女,大数据管理,23.71,0.86,84.6,0.77,71.24
2023005552,女,工商管理,26.71,0.63,74.57,0.79,74.97
2023005553,女,财务管理,16.43,0.67,61.7,0.83,60.1
2023005554,女,大数据管理,19.86,0.7,67.12,0.75,70.4
2023005555,女,工商管理,28.78,0.71,67.5,0.73,69.2
2023005556,男,电子商务,31.18,0.73,65.71,0.82,61.69
2023005557,男,大数据管理,18.96,1.0,79.93,0.97,79.62
2023005558,女,电子商务,34.9,0.81,64.36,0.86,81.52
2023005559,男,大数据管理,26.54,0.8,82.48,0.9,79.88
2023005560,女,财务管理,29.09,0.84,71.39,0.93,82.19
2023005561,男,人工智能,21.86,0.66,57.06,0.7,51.72
2023005562,男,工商管理,16.93,0.66,99.5,0.75,79.05
2023005563,男,大数据管理,19.67,0.82,84.18,0.9,72.72
2023005564,女,电子商务,21.29,0.95,48.95,1.0,70.14
2023005565,男,工商管理,26.08,0.9,71.59,0.84,75.2
2023005566,女,人工智能,30.2,0.74,74.68,0.86,81.25
2023005567,女,大数据管理,19.03,0.72,81.51,0.74,80.95
2023005568,男,人工智能,5.0,0.82,76.51,0.94,73.65
2023005569,女,电子商务,27.07,0.72,86.57,0.71,80.21
2023005570,男,财务管理,15.06,0.63,76.97,0.72,57.84
2023005571,男,财务管理,14.77,0.67,65.36,0.74,61.16
2023005572,男,财务管理,21.45,0.61,83.56,0.86,70.39
2023005573,男,人工智能,26.13,0.75,100.0,0.84,84.32
2023005574,女,人工智能,20.61,0.97,72.9,0.88,71.47
2023005575,女,大数据管理,25.22,0.89,81.66,0.77,70.94
2023005576,男,工商管理,22.47,0.97,71.99,0.71,57.3
2023005577,男,大数据管理,5.0,0.95,72.01,0.76,57.85
2023005578,男,人工智能,13.29,0.85,82.64,0.94,76.46
2023005579,女,财务管理,20.51,0.75,59.7,0.89,54.0
2023005580,女,工商管理,16.91,0.95,70.29,0.75,69.27
2023005581,男,人工智能,10.9,0.95,73.12,0.99,87.94
2023005582,男,财务管理,37.25,0.94,91.5,0.73,95.85
2023005583,男,电子商务,24.08,0.63,59.58,0.82,76.06
2023005584,女,工商管理,16.27,0.72,99.8,0.92,85.94
2023005585,男,大数据管理,24.79,0.95,83.89,0.84,90.03
2023005586,男,大数据管理,13.31,0.84,67.38,0.95,60.83
2023005587,女,人工智能,21.91,1.0,97.78,0.93,83.75
2023005588,男,人工智能,16.33,0.97,68.53,0.9,47.61
2023005589,女,电子商务,23.34,0.72,72.61,0.75,79.12
2023005590,男,大数据管理,30.97,0.92,65.46,0.9,86.24
2023005591,女,大数据管理,21.87,0.82,74.22,0.91,69.66
2023005592,女,人工智能,19.49,0.97,68.7,0.9,70.07
2023005593,男,人工智能,9.04,1.0,90.98,0.89,71.4
2023005594,女,工商管理,20.37,0.79,62.59,0.94,70.52
2023005595,女,人工智能,17.07,0.92,69.26,0.97,80.83
2023005596,男,人工智能,18.27,0.74,59.66,0.93,49.86
2023005597,女,大数据管理,24.0,0.6,60.6,0.7,64.99
2023005598,男,工商管理,15.66,0.6,68.23,0.72,59.41
2023005599,女,大数据管理,11.99,0.68,61.69,0.76,59.35
2023005600,男,工商管理,18.08,0.9,66.81,0.98,74.3
2023005601,女,电子商务,18.85,0.98,98.11,1.0,86.72
2023005602,女,大数据管理,15.16,0.78,85.97,1.0,76.28
2023005603,女,工商管理,5.0,0.72,78.43,0.86,63.48
2023005604,男,财务管理,8.9,0.81,56.08,0.71,64.24
2023005605,男,财务管理,5.0,0.94,98.72,0.95,84.2
2023005606,女,大数据管理,16.62,0.82,62.16,0.75,64.7
2023005607,女,大数据管理,23.18,0.81,83.98,0.88,69.11
2023005608,女,财务管理,29.52,0.98,75.35,0.89,77.82
2023005609,男,财务管理,19.4,0.81,69.77,0.98,78.7
2023005610,女,电子商务,26.14,0.88,73.89,0.87,76.46
2023005611,男,财务管理,15.49,0.82,72.58,0.94,75.95
2023005612,男,大数据管理,28.8,0.69,64.18,0.78,81.11
2023005613,女,人工智能,32.03,0.71,57.12,0.74,73.32
2023005614,女,电子商务,40.0,0.61,68.69,0.72,74.9
2023005615,女,工商管理,19.34,0.74,81.0,0.92,70.96
2023005616,女,人工智能,17.93,0.78,92.22,0.84,67.22
2023005617,女,工商管理,31.54,0.88,73.35,0.94,78.56
2023005618,女,人工智能,16.75,0.91,81.43,0.82,72.28
2023005619,男,人工智能,25.48,0.86,85.99,0.89,84.9
2023005620,女,人工智能,24.93,0.64,95.44,0.77,80.09
2023005621,男,财务管理,10.88,0.85,100.0,0.85,78.15
2023005622,男,工商管理,19.08,0.71,65.39,0.95,52.75
2023005623,女,人工智能,14.5,0.64,60.01,0.7,49.32
2023005624,女,财务管理,14.23,0.96,76.0,0.83,76.01
2023005625,男,电子商务,5.0,0.91,87.22,0.75,87.38
2023005626,女,财务管理,22.31,0.83,79.04,0.88,75.49
2023005627,女,电子商务,7.46,0.79,74.3,0.93,69.6
2023005628,女,财务管理,16.07,0.72,72.57,0.71,73.76
2023005629,女,财务管理,11.08,0.71,96.54,0.76,71.54
2023005630,女,大数据管理,21.7,0.63,81.89,0.92,77.87
2023005631,男,电子商务,14.16,0.72,40.66,0.75,43.06
2023005632,女,电子商务,20.79,0.6,99.49,0.98,90.65
2023005633,男,工商管理,13.22,0.97,76.38,0.99,75.5
2023005634,男,工商管理,27.44,0.88,94.96,0.9,90.09
2023005635,女,电子商务,24.79,0.86,74.05,0.73,67.31
2023005636,男,人工智能,14.08,0.62,66.31,0.78,67.3
2023005637,女,工商管理,26.61,0.83,83.4,0.79,94.55
2023005638,女,人工智能,19.52,0.97,83.0,0.84,70.31
2023005639,男,人工智能,19.09,0.88,61.74,0.96,65.17
2023005640,男,财务管理,32.14,0.67,66.45,0.88,74.1
2023005641,男,大数据管理,25.12,0.74,67.17,0.92,76.95
2023005642,女,人工智能,14.82,0.81,68.14,0.82,61.13
2023005643,男,电子商务,5.47,0.68,91.06,0.88,66.06
2023005644,男,电子商务,33.95,0.71,81.56,0.95,91.69
2023005645,男,工商管理,22.51,0.87,70.2,0.71,76.01
2023005646,男,电子商务,25.34,0.74,56.32,0.99,53.73
2023005647,女,大数据管理,15.98,0.77,58.67,0.84,56.3
2023005648,男,大数据管理,25.28,0.66,87.72,0.79,89.96
2023005649,男,财务管理,20.9,0.98,78.46,0.76,87.24
2023005650,女,工商管理,21.73,0.67,54.32,0.74,66.59
2023005651,男,工商管理,28.05,0.61,97.49,0.71,81.3
2023005652,男,电子商务,23.33,0.68,77.39,0.93,75.14
2023005653,女,人工智能,20.31,0.72,90.71,0.74,76.42
2023005654,男,财务管理,17.05,0.72,56.63,0.77,68.57
2023005655,男,大数据管理,8.21,0.77,82.98,0.8,61.21
2023005656,女,大数据管理,19.69,0.71,75.67,0.99,66.67
2023005657,男,财务管理,5.0,0.61,86.77,0.97,79.2
2023005658,女,大数据管理,31.46,0.73,55.35,0.72,64.84
2023005659,男,人工智能,23.75,0.9,89.47,0.88,93.81
2023005660,女,财务管理,5.0,0.75,76.87,0.73,56.74
2023005661,女,大数据管理,14.54,0.72,50.29,0.83,55.26
2023005662,女,人工智能,39.29,0.68,62.68,0.82,67.96
2023005663,男,电子商务,14.98,0.8,82.74,0.83,73.33
2023005664,女,大数据管理,18.1,0.73,68.99,0.77,53.88
2023005665,男,电子商务,21.27,0.89,100.0,0.73,81.22
2023005666,男,工商管理,17.53,0.94,88.42,0.82,67.55
2023005667,女,人工智能,16.52,0.74,81.41,0.76,77.25
2023005668,男,大数据管理,19.9,0.87,89.04,0.97,87.68
2023005669,女,电子商务,16.7,0.61,92.01,0.87,67.01
2023005670,男,大数据管理,20.26,0.65,38.76,0.94,63.76
2023005671,女,电子商务,12.65,0.86,73.32,0.95,92.02
2023005672,女,电子商务,21.42,0.91,79.63,0.98,79.16
2023005673,女,工商管理,16.2,0.98,89.47,0.82,74.54
2023005674,男,工商管理,36.18,0.83,50.14,0.83,75.14
2023005675,男,大数据管理,17.97,0.68,46.63,0.74,42.71
2023005676,女,工商管理,9.96,0.9,75.48,0.8,68.5
2023005677,女,电子商务,14.25,0.64,65.06,0.97,65.38
2023005678,男,电子商务,27.21,0.96,77.2,0.77,87.88
2023005679,女,大数据管理,28.78,0.86,100.0,0.82,92.18
2023005680,女,工商管理,7.19,0.76,90.14,0.87,68.51
2023005681,女,人工智能,21.55,0.9,84.29,0.97,73.49
2023005682,男,人工智能,11.2,0.66,82.0,0.92,67.35
2023005683,男,财务管理,22.29,0.67,84.39,0.78,67.19
2023005684,女,大数据管理,15.47,0.79,99.45,0.8,81.69
2023005685,男,电子商务,26.48,0.74,90.4,0.93,79.33
2023005686,男,人工智能,23.91,0.98,51.59,0.8,53.09
2023005687,男,财务管理,18.19,0.65,86.24,0.83,84.69
2023005688,男,电子商务,11.81,0.85,85.72,0.84,69.75
2023005689,女,大数据管理,11.19,0.68,68.22,0.93,52.63
2023005690,男,大数据管理,17.99,0.81,86.68,0.89,76.52
2023005691,女,工商管理,29.58,0.62,84.85,0.83,79.4
2023005692,女,人工智能,14.08,0.79,77.88,0.75,54.04
2023005693,女,电子商务,38.56,0.67,60.89,0.96,76.13
2023005694,男,工商管理,16.98,0.99,46.42,0.79,49.73
2023005695,女,人工智能,20.11,0.62,95.26,0.97,95.23
2023005696,男,财务管理,26.29,0.68,84.53,0.7,80.03
2023005697,女,财务管理,24.75,0.65,87.94,0.96,77.56
2023005698,女,大数据管理,34.95,0.82,52.8,0.84,63.88
2023005699,男,工商管理,19.95,0.65,73.61,0.87,68.83
2023005700,男,电子商务,34.23,0.87,66.15,0.99,82.02
2023005701,男,财务管理,16.17,0.82,63.33,0.87,64.9
2023005702,男,电子商务,18.7,0.94,59.57,0.77,63.04
2023005703,女,工商管理,11.02,0.63,43.88,0.98,52.17
2023005704,女,财务管理,24.5,0.81,83.34,0.81,73.61
2023005705,女,工商管理,8.0,0.7,67.32,0.93,58.84
2023005706,男,大数据管理,36.95,0.68,83.4,0.89,70.59
2023005707,男,人工智能,40.0,0.7,72.32,0.84,85.17
2023005708,男,人工智能,24.3,0.78,90.36,0.95,85.45
2023005709,男,工商管理,21.92,0.84,92.41,0.86,76.6
2023005710,女,人工智能,22.36,0.88,83.86,0.83,93.47
2023005711,女,电子商务,25.8,0.77,61.6,0.88,69.04
2023005712,男,工商管理,23.05,0.94,61.52,0.96,62.83
2023005713,男,工商管理,13.71,0.7,85.15,0.98,81.92
2023005714,男,工商管理,6.56,0.91,87.15,0.82,76.44
2023005715,男,大数据管理,27.08,0.75,70.81,0.78,74.75
2023005716,女,大数据管理,7.22,0.69,96.44,0.98,72.88
2023005717,女,财务管理,22.49,0.94,78.44,0.77,79.58
2023005718,女,财务管理,29.37,0.8,50.93,0.89,63.54
2023005719,女,大数据管理,29.07,0.71,79.27,0.88,82.08
2023005720,女,电子商务,20.89,0.8,98.7,0.88,73.7
2023005721,女,财务管理,5.32,0.74,100.0,0.74,75.0
2023005722,男,人工智能,14.61,0.8,73.55,0.74,81.92
2023005723,女,财务管理,20.14,0.95,67.63,0.96,66.4
2023005724,男,人工智能,14.26,0.84,58.66,0.82,56.29
2023005725,女,财务管理,21.79,0.91,54.45,0.92,62.06
2023005726,女,人工智能,15.04,0.87,73.84,0.89,60.49
2023005727,女,电子商务,31.54,0.9,79.57,0.92,67.79
